task_id,task_type,difficulty_level,status,reasoning_planning_evidence,instruction_following_evidence,communication_social_evidence,self_critique_verification_evidence,memory_context_evidence,tool_planning_evidence,generated_lexical_units,lexical_repetition_ratio,goal_count,constraint_count,plan_step_count,constraint_prompt_similarity,constraint_plan_coverage,plan_prompt_similarity,constraint_source_completeness,plan_action_completeness,plan_expected_result_completeness,dependency_edge_count,dependency_reference_valid_rate,dependency_order_valid_rate,dependency_cycle_detected,strict_json_valid,required_field_completeness,list_field_type_valid_rate,self_assessment_marker_count,communication_source_coverage,verification_count,verification_method_completeness,verification_failure_signal_completeness,actionable_verification_rate,plan_verification_coverage,memory_status_coverage,memory_valid_status_rate,tool_count,unexpected_tool_plan,tool_argument_source_coverage,tool_literal_argument_grounding_rate,tool_success_check_completeness
qa_L1_011,knowledge_qa,1,success,available,available,insufficient,available,insufficient,insufficient,153,0.457516,1,1,1,0.392774,1.0,0.696691,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,1.0
qa_L2_012,knowledge_qa,2,success,available,available,insufficient,available,insufficient,insufficient,183,0.448087,1,1,1,0.0,1.0,0.0,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,1,0.0,,1.0
qa_L3_013,knowledge_qa,3,success,available,available,insufficient,available,insufficient,insufficient,219,0.424658,1,1,1,0.0,0.0,0.0,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
qa_L4_014,knowledge_qa,4,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,323,0.640867,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
qa_L5_015,knowledge_qa,5,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,231,0.549784,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
logic_L1_016,logical_reasoning,1,success,available,available,insufficient,available,insufficient,insufficient,158,0.5,1,1,1,0.105367,1.0,0.323051,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
logic_L2_017,logical_reasoning,2,success,available,available,insufficient,available,insufficient,insufficient,121,0.446281,1,1,1,0.629485,0.0,0.269801,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,0.0,1.0,1.0,1.0,1,1,0.0,,1.0
logic_L3_018,logical_reasoning,3,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,218,0.715596,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
logic_L4_019,logical_reasoning,4,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,213,0.643192,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
logic_L5_020,logical_reasoning,5,success,available,available,insufficient,available,insufficient,insufficient,168,0.541667,1,3,1,0.352318,1.0,0.518567,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
inst_L1_021,instruction_following,1,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,3,0.0,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
inst_L2_022,instruction_following,2,success,available,available,insufficient,available,insufficient,insufficient,174,0.528736,1,4,1,0.540297,0.75,0.407153,1.0,1.0,1.0,0,,,0,1,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.0,,1.0
inst_L3_023,instruction_following,3,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,220,0.6,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
inst_L4_024,instruction_following,4,success,insufficient,available,insufficient,insufficient,available,insufficient,194,0.546392,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
inst_L5_025,instruction_following,5,success,insufficient,available,insufficient,insufficient,insufficient,insufficient,196,0.494898,0,0,0,,,,,,,0,,,0,0,0.0,0.0,0,,0,,,,,,,0,0,,,
