arm,task_id,task_type,difficulty_level,answer_status,prompt_tokens,generated_tokens,termination,output_characters,output_lines,dimension_labels_present,verification_mentions,uncertainty_mentions,tool_mentions,absence_mentions,visible_generated_tokens,temporal_distance_mean,temporal_distance_early32,temporal_distance_terminal32,temporal_terminal_to_early_ratio,distance_from_first_mean,distance_from_first_terminal32,late8_depth_update_mean,late8_depth_update_terminal,final_state_norm_mean,final_state_norm_cv
six_dimension,math_L1_006,math_reasoning,1,correct,307,386,eos,762,17,6,5,1,4,4,385,0.3442229926586151,0.5038501024246216,0.19020481407642365,0.3775027794201535,0.8091890215873718,0.8027629256248474,0.10809879191219807,0.10741024860180914,135.74322509765625,0.22615589831372693
six_dimension,math_L2_007,math_reasoning,2,correct,327,447,eos,840,17,6,4,1,4,2,446,0.3535250127315521,0.44441720843315125,0.5280528664588928,1.1881917631421375,0.7990171313285828,0.8114707469940186,0.10898851021192968,0.11105603910982609,134.63864135742188,0.2156558750217313
six_dimension,math_L3_008,math_reasoning,3,correct,314,435,eos,799,17,6,4,1,4,2,434,0.38784652948379517,0.4742732644081116,0.2535306513309479,0.5345666103429879,0.814784586429596,0.8117121458053589,0.1106367688626051,0.10697059822268784,135.1601104736328,0.219210033176211
six_dimension,math_L4_009,math_reasoning,4,correct,312,430,eos,854,17,6,3,1,3,3,429,0.34378865361213684,0.4715826213359833,0.3354640305042267,0.7113579155098303,0.8457624912261963,0.8331311345100403,0.10977058648131788,0.10956689179874957,130.0085906982422,0.2410048633589441
six_dimension,math_L5_010,math_reasoning,5,correct,306,708,eos,1211,17,6,3,5,3,0,707,0.47298145294189453,0.4617933928966522,0.6192601919174194,1.3409897184388857,0.8737260699272156,0.8857035040855408,0.11268859240226448,0.11570387496612966,119.79773712158203,0.22547695602296988
six_dimension,qa_L1_011,knowledge_qa,1,correct,291,294,eos,605,17,6,2,2,3,6,293,0.3672257661819458,0.42910557985305786,0.3833915591239929,0.8934667296922143,0.7858441472053528,0.7901124954223633,0.1083377271424979,0.10887242620810866,149.468505859375,0.2111540009726848
six_dimension,qa_L2_012,knowledge_qa,2,correct,329,371,eos,736,17,6,3,1,3,2,370,0.3375326991081238,0.453114777803421,0.19010496139526367,0.41955144856859794,0.7887395620346069,0.8080919981002808,0.10898009617812932,0.10593682271428406,141.39199829101562,0.2198630629640893
six_dimension,qa_L3_013,knowledge_qa,3,correct,393,574,eos,1049,17,6,5,6,3,1,573,0.3269503116607666,0.49822378158569336,0.304312139749527,0.6107940869080855,0.8003554344177246,0.8269820809364319,0.10997705138288438,0.11109767947345972,134.11305236816406,0.20606984420597338
six_dimension,qa_L4_014,knowledge_qa,4,partial,347,613,eos,1131,17,6,6,1,3,2,612,0.309520959854126,0.4529171884059906,0.236741304397583,0.5227032898238572,0.802383542060852,0.821153461933136,0.10935875703580678,0.10587550397031009,135.47482299804688,0.21866988350931318
six_dimension,qa_L5_015,knowledge_qa,5,partial,384,668,eos,1226,17,6,3,6,3,0,667,0.2558666467666626,0.4905422329902649,0.19757333397865295,0.40276518654526106,0.8141061663627625,0.813188374042511,0.1081786525901407,0.10517145693302155,135.14300537109375,0.18804658987084627
no_prompt_baseline,code_L1_001,code_generation,1,correct,42,122,eos,458,18,0,4,4,3,0,121,0.5119689702987671,0.47688013315200806,0.4774637222290039,1.0012237647082056,0.6542758941650391,0.7246614694595337,0.1118271080777049,0.10646375198848546,162.55801391601562,0.21618995509603411
no_prompt_baseline,code_L2_002,code_generation,2,correct,62,195,eos,845,23,0,2,3,3,0,194,0.5503726005554199,0.5004451274871826,0.5441774725914001,1.0873868935917208,0.7246580719947815,0.7802783250808716,0.11342880642041564,0.11109165893867612,152.24745178222656,0.2246382403781076
no_prompt_baseline,code_L3_003,code_generation,3,correct,93,569,eos,1829,57,0,0,3,4,0,568,0.5856090188026428,0.44555357098579407,0.40292754769325256,0.9043301949118469,0.7789437174797058,0.5064581632614136,0.11436195531859994,0.10852730693295598,135.5845489501953,0.2414028420369924
no_prompt_baseline,code_L4_004,code_generation,4,correct,142,858,eos,3248,102,0,0,6,2,0,857,0.6133956909179688,0.5748643279075623,0.4231005311012268,0.7360006710474842,0.8286619186401367,0.6782764196395874,0.11525566969066858,0.11079169064760208,149.80752563476562,0.2755182278367037
no_prompt_baseline,code_L5_005,code_generation,5,partial,144,1552,eos,6944,223,0,10,10,4,0,1551,0.647624135017395,0.48686495423316956,0.4278812110424042,0.8788498891162397,0.8436952829360962,0.6827554702758789,0.1156767257489264,0.11222863872535527,138.32632446289062,0.27872152041718395
no_prompt_baseline,inst_L1_021,instruction_following,1,correct,37,10,eos,25,1,0,0,0,0,0,9,0.7396714687347412,0.7396714687347412,0.7396714687347412,1.0,0.7146044373512268,0.7146044373512268,0.11524277599528432,0.11524277599528432,175.27244567871094,0.15983606628735694
no_prompt_baseline,inst_L2_022,instruction_following,2,incorrect,80,57,eos,363,1,0,0,0,0,0,56,0.45400068163871765,0.4445343017578125,0.4750630259513855,1.0686757446452477,0.5105838179588318,0.5429551601409912,0.09819533838890493,0.0981964273378253,160.0330352783203,0.08285571264096568
no_prompt_baseline,inst_L3_023,instruction_following,3,incorrect,124,305,eos,1337,7,0,1,2,0,0,304,0.34221506118774414,0.3543943166732788,0.31646764278411865,0.8929817096245217,0.591036856174469,0.5684536099433899,0.10073002311401069,0.09967609192244709,165.1042022705078,0.07525119061272877
no_prompt_baseline,inst_L4_024,instruction_following,4,correct,137,51,eos,266,1,0,0,2,0,0,50,0.39660418033599854,0.40458396077156067,0.3785010278224945,0.9355314706511727,1.2018108367919922,1.1912428140640259,0.10764689627103508,0.1050989031791687,158.29571533203125,0.10702310800353343
no_prompt_baseline,inst_L5_025,instruction_following,5,incorrect,213,168,eos,775,7,0,0,3,0,0,167,0.3659055829048157,0.4138215482234955,0.3741840124130249,0.9042158728064512,0.8528768420219421,0.8643784523010254,0.10128038306720555,0.09833673643879592,169.11587524414062,0.09797315129288729
no_prompt_baseline,logic_L1_016,logical_reasoning,1,correct,46,167,eos,545,19,0,0,0,0,0,166,0.4842454493045807,0.5382696390151978,0.519537627696991,0.9651995766425201,0.6550170183181763,0.7442789077758789,0.10774455335922539,0.10867011384107172,153.69686889648438,0.19381025085880835
no_prompt_baseline,logic_L2_017,logical_reasoning,2,correct,55,363,eos,1499,57,0,0,8,0,0,362,0.5166335701942444,0.5987383723258972,0.4625568687915802,0.7725525708243858,0.680858850479126,0.6952796578407288,0.11013850849121809,0.11099527729675174,134.93043518066406,0.21574402726014077
no_prompt_baseline,logic_L3_018,logical_reasoning,3,partial,99,4096,token_budget,12968,695,0,13,5,0,0,4096,0.6183875799179077,0.4597192108631134,0.6931535005569458,1.5077757991787297,0.7738974690437317,0.8279743194580078,0.11386122670955956,0.11457829503342509,129.4427947998047,0.2290745651120932
no_prompt_baseline,logic_L4_019,logical_reasoning,4,correct,111,583,eos,2052,74,0,0,0,0,0,582,0.6053329110145569,0.4512816071510315,0.42501503229141235,0.9417956006994355,0.7140416502952576,0.6449788808822632,0.11137402034364641,0.10803535976447165,133.51580810546875,0.231956589713571
no_prompt_baseline,logic_L5_020,logical_reasoning,5,correct,166,1446,eos,5291,121,0,0,25,0,0,1445,0.5668121576309204,0.32563021779060364,0.6527501940727234,2.0045750007527685,0.6324770450592041,0.6768569350242615,0.11169528891332448,0.1112491199746728,124.8674545288086,0.1723746132908143
no_prompt_baseline,math_L1_006,math_reasoning,1,correct,36,85,eos,261,11,0,0,0,0,0,84,0.5093201994895935,0.46136656403541565,0.5046021938323975,1.0937121004582875,0.7021685838699341,0.7541710734367371,0.11086895922198892,0.1122730951756239,139.6185302734375,0.17509401598244378
no_prompt_baseline,math_L2_007,math_reasoning,2,correct,56,229,eos,622,34,0,0,0,0,0,228,0.5330602526664734,0.5210275650024414,0.4681088328361511,0.8984339107547173,0.7911011576652527,0.7448088526725769,0.11165578151121736,0.11029988061636686,140.0888671875,0.22330326154488292
no_prompt_baseline,math_L3_008,math_reasoning,3,correct,43,495,eos,1131,91,0,0,0,0,0,494,0.5304375886917114,0.6126443147659302,0.6400164365768433,1.0446786514641386,0.7771345376968384,0.910847008228302,0.1138272606767714,0.11677687056362629,131.82569885253906,0.2486175720359764
no_prompt_baseline,math_L4_009,math_reasoning,4,correct,41,727,eos,2254,95,0,0,1,0,0,726,0.541469156742096,0.5119248628616333,0.49201810359954834,0.9611139041952227,0.7296452522277832,0.6561098098754883,0.11232855194248259,0.10847907443530858,123.9169921875,0.18873951425337496
no_prompt_baseline,math_L5_010,math_reasoning,5,correct,35,931,eos,2458,118,0,0,3,0,0,930,0.5721555352210999,0.49949949979782104,0.5113063454627991,1.0236373523291955,0.7808565497398376,0.79658043384552,0.11632757587358356,0.11573060229420662,120.85147094726562,0.1922283678205967
no_prompt_baseline,qa_L1_011,knowledge_qa,1,correct,20,9,eos,36,1,0,0,0,0,0,8,0.4630080759525299,0.4630080759525299,0.4630080759525299,1.0,0.5614346861839294,0.5614346861839294,0.10705895535647869,0.10705895535647869,142.15066528320312,0.19122673917715205
no_prompt_baseline,qa_L2_012,knowledge_qa,2,correct,58,204,eos,836,15,0,0,1,0,0,203,0.5631672143936157,0.5074921250343323,0.5654410719871521,1.1141868890062079,0.7079018950462341,0.6120367050170898,0.11119097890332341,0.10916967503726482,145.35586547851562,0.18684219794537962
no_prompt_baseline,qa_L3_013,knowledge_qa,3,correct,122,797,eos,2987,58,0,2,1,0,0,796,0.5308218598365784,0.4764120280742645,0.4588577151298523,0.9631530861733915,0.7130426168441772,0.6804853081703186,0.11252359999343753,0.10808104858733714,139.1850128173828,0.17004960133765581
no_prompt_baseline,qa_L4_014,knowledge_qa,4,partial,76,478,eos,2300,18,0,0,7,0,0,477,0.47668153047561646,0.5573354959487915,0.3503752052783966,0.628661206446089,0.6240266561508179,0.560225248336792,0.11085376935079694,0.10504112322814763,148.76504516601562,0.153642722586037
no_prompt_baseline,qa_L5_015,knowledge_qa,5,partial,113,1535,eos,7120,87,0,0,16,5,0,1534,0.5271941423416138,0.5925573110580444,0.46534958481788635,0.7853241806889167,0.5780134201049805,0.5024319887161255,0.1085421924944967,0.10563620761968195,132.38644409179688,0.17382305403432288
